Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality,lat,long
44443,South Asia,20-Feb-17,2017,Feb,1,0,1,0,0,1,0,Vehicle Accident,"Asfhan province, Iran",IOM Afghanistan, , ,Southern Asia,4,33.2771073,52.3613378
30819,Mediterranean,19-Feb-17,2017,Feb,6,0,6,0,0,0,0,Drowning,"Bodies recovered near Az Zawiyah, Libya",IOM Libya,Central Mediterranean, ,Uncategorized,4,32.7812306,12.6964611
30820,Mediterranean,19-Feb-17,2017,Feb,0,118,118,0,0,0,0,Drowning,"Off the coast of Al Khums, Libya",IOM Libya,Central Mediterranean, ,Uncategorized,4,32.74920163,14.33930942
30821,North Africa,19-Feb-17,2017,Feb,2,0,2,0,0,0,0,"Harsh conditions, Suffocation","Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,18.9047594,27.8468919
43945,US-Mexico Border,19-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),"Laborcitas Creek Ranch, Brooks County, Texas, USA",South Texas Human Rights Center,Central America to US, ,Northern America,4,27.2403194,-98.2044504
30815,North Africa,18-Feb-17,2017,Feb,3,0,3,0,0,0,0,"Starvation, Excessive Physical Abuse","In the Sahara desert, around Karima, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,18.5427125,31.6681546
30816,Central America,18-Feb-17,2017,Feb,2,0,2,0,0,2,0,Fall from train,"Train tracks, Guaymas, Sonora, Mexico",Monitor Guaymas - Empalme - San Carlos,Central America to US,"http://bit.ly/2osyu2Q, http://bit.ly/2nvDK0I",Central America,3,27.9147934,-110.9429356
30817,North Africa,18-Feb-17,2017,Feb,3,0,3,0,0,0,0,Vehicle Accident,"In the Sahara desert, around Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Northern Africa,2,24.0721322,32.7199027
30818,US-Mexico Border,18-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30810,US-Mexico Border,17-Feb-17,2017,Feb,1,0,1,0,0,1,0,Unknown (skeletal remains),4 miles west of FR 19,Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,32.057499,-111.6660725
30811,US-Mexico Border,17-Feb-17,2017,Feb,1,0,1,0,0,0,0,Unknown (skeletal remains),Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,Central America to US, ,Northern America,5,31.8753434,-112.5470466
30812,Middle East,17-Feb-17,2017,Feb,1,0,1,0,0,0,0,Hypothermia,"Near Euphrates River, eastern Turkey",Sozcu, ,http://bit.ly/2pUtXTG,Western Asia,1,38.4156158,40.8927855
30813,Horn of Africa,17-Feb-17,2017,Feb,1,0,1,0,0,0,0,Sickness and lack of access to medicines,"Near Dire Dawa, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi), , ,Eastern Africa,2,9.605039,41.8206189
30814,Europe,17-Feb-17,2017,Feb,1,0,1,0,0,1,0,"Electrocution, Train Accident","Found dead on train at Cannes La Bocca station, France",Le Parisien, ,http://bit.ly/2tjLQO5,Western Europe,1,43.5551788,6.9788798
